Date      ;APF NO    ;APF Name                                                                                            ;No.of Bales;Qty Sold      ;Avg Price     
07-04-2022;22;Podili - I                                                                                          ;455;63732.5;179.82
08-04-2022;22;Podili - I                                                                                          ;338;46571;180.27
09-04-2022;22;Podili - I                                                                                          ;281;39665.5;181.88
11-04-2022;22;Podili - I                                                                                          ;254;34376;174.82
12-04-2022;22;Podili - I                                                                                          ;256;34560.5;177.03
13-04-2022;22;Podili - I                                                                                          ;374;51100.5;176.07
18-04-2022;22;Podili - I                                                                                          ;350;46961.4;177.46
19-04-2022;22;Podili - I                                                                                          ;536;74601.4;175.36
20-04-2022;22;Podili - I                                                                                          ;650;88166.7;168.24
21-04-2022;22;Podili - I                                                                                          ;542;74780;164.82
22-04-2022;22;Podili - I                                                                                          ;592;79646.2;164.83
23-04-2022;22;Podili - I                                                                                          ;639;86503.6;164.44
25-04-2022;22;Podili - I                                                                                          ;773;103607.4;162.16
26-04-2022;22;Podili - I                                                                                          ;535;69918.7;158.54
27-04-2022;22;Podili - I                                                                                          ;898;119822.7;166.74
28-04-2022;22;Podili - I                                                                                          ;683;91229.1;159.01
29-04-2022;22;Podili - I                                                                                          ;861;114649.8;157.34
30-04-2022;22;Podili - I                                                                                          ;954;125302.6;158.55
02-05-2022;22;Podili - I                                                                                          ;972;125832.5;153.19
04-05-2022;22;Podili - I                                                                                          ;953;123937.3;154.91
05-05-2022;22;Podili - I                                                                                          ;730;92231.2;152.86
06-05-2022;22;Podili - I                                                                                          ;966;127833.4;160.98
07-05-2022;22;Podili - I                                                                                          ;964;124434.6;162.49
09-05-2022;22;Podili - I                                                                                          ;976;122127.7;154.95
10-05-2022;22;Podili - I                                                                                          ;1130;144837.5;165.31
11-05-2022;22;Podili - I                                                                                          ;1127;143610.6;163.34
12-05-2022;22;Podili - I                                                                                          ;767;94919.4;152.65
13-05-2022;22;Podili - I                                                                                          ;587;73176.7;152.1
14-05-2022;22;Podili - I                                                                                          ;738;90197.3;149.56
17-05-2022;22;Podili - I                                                                                          ;689;84254.2;150.75
18-05-2022;22;Podili - I                                                                                          ;752;98203.2;168.79
19-05-2022;22;Podili - I                                                                                          ;942;117398.9;159.63
20-05-2022;22;Podili - I                                                                                          ;996;128419.8;172.67
21-05-2022;22;Podili - I                                                                                          ;1010;125834;168.95
23-05-2022;22;Podili - I                                                                                          ;950;118565;172.31
24-05-2022;22;Podili - I                                                                                          ;964;123710.5;170.08
25-05-2022;22;Podili - I                                                                                          ;1091;122825.3;158.48
26-05-2022;22;Podili - I                                                                                          ;1112;133538.1;170.49
27-05-2022;22;Podili - I                                                                                          ;470;55048.6;171.23
28-05-2022;22;Podili - I                                                                                          ;308;36997.9;163.46
30-05-2022;22;Podili - I                                                                                          ;561;67949.4;161.99
31-05-2022;22;Podili - I                                                                                          ;806;102067.3;171.66
01-06-2022;22;Podili - I                                                                                          ;894;110776.3;162.88
02-06-2022;22;Podili - I                                                                                          ;587;71937;165.9
28-03-2022;23;Ongole - II                                                                                         ;27;3638.8;185
29-03-2022;23;Ongole - II                                                                                         ;36;4481.2;184.95
30-03-2022;23;Ongole - II                                                                                         ;323;41120.8;182.15
31-03-2022;23;Ongole - II                                                                                         ;418;55399.6;182.59
01-04-2022;23;Ongole - II                                                                                         ;230;31230;182.84
04-04-2022;23;Ongole - II                                                                                         ;467;63056.1;182.99
05-04-2022;23;Ongole - II                                                                                         ;428;57646.3;183.23
06-04-2022;23;Ongole - II                                                                                         ;385;52540.7;183.34
07-04-2022;23;Ongole - II                                                                                         ;428;57678.3;183.42
08-04-2022;23;Ongole - II                                                                                         ;387;52577.3;182.86
09-04-2022;23;Ongole - II                                                                                         ;384;51696;182.52
11-04-2022;23;Ongole - II                                                                                         ;428;53505.9;171.81
12-04-2022;23;Ongole - II                                                                                         ;371;49106;173.16
